num,word,pinyin,radical,stroke_count,wuxing,traditional,wubi,pinyin_initial,pinyin_final,tone
2033,脊,jǐ,月,10,木,脊,IWEF,j,i,3
2034,效,xiào,攵,10,水,效,UQTY,x,iao,4
2035,离,lí,亠,10,火,離,YBMC,l,i,2
2036,紊,wěn,糸,10,金,紊,YXIU,w,en,3
2037,唐,táng,广,10,火,唐,YVHK,t,ang,2
2038,瓷,cí,瓦,10,金,瓷,UQWN,c,i,2
2039,资,zī,贝,10,金,資,UQWM,z,i,1
2040,凉,"liáng,liàng",冫,10,火,,UYIY,l,iang,2
2041,站,zhàn,立,10,火,站,UHKG,zh,an,4
2042,剖,pōu,刂,10,金,剖,UKJH,p,ou,1
2043,竞,jìng,立,10,木,競,UKQB,j,ing,4
2044,部,bù,阝,10,水,部,UKBH,b,u,4
2045,旁,"páng,bàng",方,10,水,旁,UPYB,p,ang,2
2046,旅,lǚ,方,10,火,旅,YTEY,l,ü,3
2047,畜,"chù,xù",田,10,火,畜,YXLF,ch,u,4
2048,阅,yuè,门,10,土,閲,UUKQ,y,ue,4
2049,羞,xiū,⺶,10,金,羞,UDNF,x,iu,1
2050,羔,gāo,⺷、灬,10,木,羔,UGOU,g,ao,1
2051,瓶,píng,瓦,10,水,瓶,UAGN,p,ing,2
2052,拳,quán,手,10,木,拳,UDRJ,q,uan,2
2053,粉,fěn,米,10,木,粉,OWVN,f,en,3
2054,料,liào,米,10,火,料,OUFH,l,iao,4
2055,益,yì,皿,10,土,益,UWLF,y,i,4
2056,兼,jiān,丷,10,木,兼,UVOU,j,ian,1
2057,烤,kǎo,火,10,火,烤,OFTN,k,ao,3
2058,烘,hōng,火,10,火,烘,OAWY,h,ong,1
2059,烦,fán,火,10,火,煩,ODMY,f,an,2
2060,烧,shāo,火,10,火,燒,OATQ,sh,ao,1
2061,烛,zhú,火,10,火,燭,OJY,zh,u,2
2062,烟,yān,火,10,火,烟,OLDY,y,an,1
2063,烙,"lào,luò",火,10,火,烙,OTKG,l,uo,4
2064,递,dì,辶,10,火,遞,UXHP,d,i,4
2065,涛,tāo,氵,10,水,濤,IDTF,t,ao,1
2066,浙,zhè,氵,10,水,浙,IRRH,zh,e,4
2067,涝,lào,氵,10,水,澇,IAPL,l,ao,4
2068,浦,pǔ,氵,10,水,浦,IGEY,p,u,3
2069,酒,jiǔ,氵,10,水,酒,ISGG,j,iu,3
2070,涉,shè,氵,10,水,涉,IHIT,sh,e,4
2071,消,xiāo,氵,10,水,消,IIEG,x,iao,1
2072,涡,"wō,guō",氵,10,水,渦,IKMW,w,o,1
2073,浩,hào,氵,10,水,浩,ITFK,h,ao,4
2074,海,hǎi,氵,10,水,海,ITXU,h,ai,3
2075,涂,tú,氵,10,水,塗,IWTY,t,u,2
2076,浴,yù,氵,10,水,浴,IWWK,y,u,4
2077,浮,fú,氵,10,水,浮,IEBG,f,u,2
2078,涣,huàn,氵,10,水,涣,IQMD,h,uan,4
2079,涤,dí,氵,10,水,滌,ITSY,d,i,2
2080,流,liú,氵,10,水,流,IYCQ,l,iu,2
